"","Beer","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery","City","state"
"1","Bitter Bitch",1979,0.061,60,178,"American Pale Ale (APA)",12,"18th Street Brewery","Gary","IN"
"2","Lower De Boom",1036,0.099,92,369,"American Barleywine",8.4,"21st Amendment Brewery","San Francisco","CA"
"3","Fireside Chat",1024,0.079,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco","CA"
"4","Bitter American",876,0.044,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco","CA"
"5","Hell or High Watermelon Wheat (2009)",802,0.049,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco","CA"
"6","Hell or High Watermelon Wheat (2009)",801,0.049,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco","CA"
"7","21st Amendment Watermelon Wheat Beer (2006)",800,0.049,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco","CA"
"8","21st Amendment IPA (2006)",799,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco","CA"
"9","Brew Free! or Die IPA (2008)",797,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco","CA"
"10","Brew Free! or Die IPA (2009)",796,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco","CA"
"11","Special Edition: Allies Win The War!",531,0.085,52,369,"English Strong Ale",12,"21st Amendment Brewery","San Francisco","CA"
"12","Hop Crisis",432,0.097,94,369,"American Double / Imperial IPA",12,"21st Amendment Brewery","San Francisco","CA"
"13","Bitter American (2011)",353,0.044,42,369,"American Pale Ale (APA)",12,"21st Amendment Brewery","San Francisco","CA"
"14","Fireside Chat (2010)",321,0.079,45,369,"Winter Warmer",12,"21st Amendment Brewery","San Francisco","CA"
"15","Back in Black",173,0.068,65,369,"American Black Ale",12,"21st Amendment Brewery","San Francisco","CA"
"16","Monk's Blood",11,0.083,35,369,"Belgian Dark Ale",12,"21st Amendment Brewery","San Francisco","CA"
"17","Brew Free! or Die IPA",10,0.07,65,369,"American IPA",12,"21st Amendment Brewery","San Francisco","CA"
"18","Hell or High Watermelon Wheat",9,0.049,17,369,"Fruit / Vegetable Beer",12,"21st Amendment Brewery","San Francisco","CA"
"19","Bimini Twist",2519,0.07,82,68,"American IPA",12,"3 Daughters Brewing","St Petersburg","FL"
"20","Passion Fruit Prussia",2545,0.035,11,61,"Berliner Weissbier",12,"4 Hands Brewing Company","Saint Louis","MO"
"21","Send Help",2544,0.045,18,61,"American Blonde Ale",12,"4 Hands Brewing Company","Saint Louis","MO"
"22","Contact High",1870,0.05,28,61,"American Pale Wheat Ale",12,"4 Hands Brewing Company","Saint Louis","MO"
"23","Citrafest",2602,0.05,45,28,"American IPA",16,"450 North Brewing Company","Columbus","IN"
"24","Scarecrow",2219,0.069,65,28,"American IPA",16,"450 North Brewing Company","Columbus","IN"
"25","Ironman",2218,0.09,50,28,"English Strong Ale",16,"450 North Brewing Company","Columbus","IN"
"26","Honey Kolsch",2217,0.046,15,28,"Kölsch",16,"450 North Brewing Company","Columbus","IN"
"27","Copperhead Amber",2216,0.052,18,28,"Belgian Dark Ale",16,"450 North Brewing Company","Columbus","IN"
"28","Rude Parrot IPA",972,0.059,75,482,"American IPA",16,"7 Seas Brewing Company","Gig Harbor","WA"
"29","British Pale Ale (2010)",866,0.054,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor","WA"
"30","British Pale Ale",48,0.054,30,482,"English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor","WA"
"31","Ballz Deep Double IPA",47,0.084,82,482,"American Double / Imperial IPA",16,"7 Seas Brewing Company","Gig Harbor","WA"
"32","Colorado Native",1165,0.055,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden","CO"
"33","Colorado Native (2011)",431,0.055,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden","CO"
"34","Jockamo IPA",516,0.065,52,534,"American IPA",12,"Abita Brewing Company","Abita Springs","LA"
"35","Purple Haze",515,0.042,13,534,"Fruit / Vegetable Beer",12,"Abita Brewing Company","Abita Springs","LA"
"36","Abita Amber",514,0.045,17,534,"American Amber / Red Lager",12,"Abita Brewing Company","Abita Springs","LA"
"37","Citra Ass Down",2540,0.082,68,63,"American IPA",16,"Against The Grain Brewery","Louisville","KY"
"38","The Brown Note",2539,0.05,20,63,"American Brown Ale",16,"Against The Grain Brewery","Louisville","KY"
"39","Citra Ass Down",2686,0.08,68,2,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY"
"40","London Balling",2685,0.125,80,2,"English Barleywine",16,"Against the Grain Brewery","Louisville","KY"
"41","35 K",2684,0.077,25,2,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville","KY"
"42","A Beer",2683,0.042,42,2,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville","KY"
"43","Rules are Rules",2682,0.05,25,2,"German Pilsener",16,"Against the Grain Brewery","Louisville","KY"
"44","Flesh Gourd'n",2681,0.066,21,2,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville","KY"
"45","Sho'nuff",2680,0.04,13,2,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville","KY"
"46","Bloody Show",2679,0.055,17,2,"American Pilsner",16,"Against the Grain Brewery","Louisville","KY"
"47","Rico Sauvin",2678,0.076,68,2,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY"
"48","Coq de la Marche",2677,0.051,38,2,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville","KY"
"49","Pile of Face",2675,0.06,65,2,"American IPA",16,"Against the Grain Brewery","Louisville","KY"
"50","The Brown Note",2674,0.05,20,2,"English Brown Ale",16,"Against the Grain Brewery","Louisville","KY"
"51","Maylani's Coconut Stout",1594,0.053,35,368,"American Stout",16,"Airways Brewing Company","Kent","WA"
"52","Oatmeal PSA",1162,0.05,35,368,"American Pale Ale (APA)",16,"Airways Brewing Company","Kent","WA"
"53","Pre Flight Pilsner",1137,0.052,33,368,"American Pilsner",16,"Airways Brewing Company","Kent","WA"
"54","P-Town Pilsner",2403,0.04,20,118,"American Pilsner",12,"Alameda Brewing","Portland","OR"
"55","Klickitat Pale Ale",2402,0.053,36,118,"American Pale Ale (APA)",12,"Alameda Brewing","Portland","OR"
"56","Yellow Wolf Imperial IPA",2401,0.082,103,118,"American Double / Imperial IPA",12,"Alameda Brewing","Portland","OR"
"57","Freeride APA",1921,0.053,40,271,"American Pale Ale (APA)",12,"Alaskan Brewing Company","Juneau","AK"
"58","Alaskan Amber",1920,0.053,18,271,"Altbier",12,"Alaskan Brewing Company","Juneau","AK"
"59","Desolation IPA",837,0.062,43,402,"American IPA",16,"Amnesia Brewing Company","Washougal","WA"
"60","Barney Flats Oatmeal Stout",1520,0.057,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville","CA"
"61","Summer Solstice",1350,0.056,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"62","Hop Ottin' IPA",1327,0.07,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville","CA"
"63","Boont Amber Ale",1326,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"64","Barney Flats Oatmeal Stout",1221,0.057,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville","CA"
"65","El Steinber Dark Lager",1217,0.055,25,172,"Vienna Lager",16,"Anderson Valley Brewing Company","Boonville","CA"
"66","Boont Amber Ale (2010)",811,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"67","Summer Solstice Cerveza Crema (2009)",753,0.056,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"68","Barney Flats Oatmeal Stout (2012)",572,0.057,13,172,"Oatmeal Stout",12,"Anderson Valley Brewing Company","Boonville","CA"
"69","Winter Solstice",523,0.069,6,172,"Winter Warmer",12,"Anderson Valley Brewing Company","Boonville","CA"
"70","Hop Ottin' IPA (2011)",367,0.07,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville","CA"
"71","Boont Amber Ale (2011)",78,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"72","Summer Solstice (2011)",77,0.056,4,172,"Cream Ale",12,"Anderson Valley Brewing Company","Boonville","CA"
"73","Poleeko Gold Pale Ale (2009)",76,0.055,28,172,"American Pale Ale (APA)",12,"Anderson Valley Brewing Company","Boonville","CA"
"74","Long Leaf",2511,0.071,75,70,"American IPA",16,"Appalachian Mountain Brewery","Boone","NC"
"75","Honey Badger Blonde",2510,0.047,19,70,"American Blonde Ale",16,"Appalachian Mountain Brewery","Boone","NC"
"76","Porter (a/k/a Black Gold Porter)",2509,0.06,23,70,"American Porter",16,"Appalachian Mountain Brewery","Boone","NC"
"77","Sky High Rye",413,0.06,55,542,"American Pale Ale (APA)",12,"Arcadia Brewing Company","Battle Creek","MI"
